"","Rk","Player","Pos","Age","Tm","G","MP","PER","TS%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","OWS","DWS","WS","WS/48","OBPM","DBPM","BPM","VORP"
"192","152","Jonathan Gibson","PG","29","DAL","17","231","9.5",".492",".474",".305","0.5","11.1","5.5","18.8","1.8","0.0","16.3","26.3","-0.3","0.2","-0.1","-0.030","-3.3","-2.2","-5.5","-0.2"
"193","153","Taj Gibson","PF","31","TOT","78","1989","15.1",".543",".018",".223","8.6","18.0","13.2","5.9","1.1","2.6","11.9","19.3","1.6","2.5","4.0",".098","-2.4","0.3","-2.1","0.0"
"194","153","Taj Gibson","PF","31","CHI","55","1502","15.5",".549",".023",".225","8.5","19.0","13.7","6.5","0.9","2.7","11.7","19.2","1.4","1.9","3.3",".105","-2.0","0.7","-1.3","0.3"
"195","153","Taj Gibson","PF","31","OKC","23","487","13.8",".528",".006",".218","8.6","14.8","11.7","4.2","1.4","2.5","12.5","19.5","0.2","0.6","0.8",".076","-3.9","-0.7","-4.6","-0.3"
"196","154","Manu Ginobili","SG","39","SAS","69","1291","13.9",".532",".517",".244","2.5","11.1","6.9","20.8","3.2","1.0","16.5","20.4","0.6","2.4","3.0",".110","0.5","1.4","1.9","1.3"
"197","155","Rudy Gobert","C","24","UTA","81","2744","23.3",".683",".002",".764","13.6","29.5","21.8","5.7","0.9","6.4","15.1","16.7","8.3","6.0","14.3",".250","1.4","4.5","5.9","5.5"
"198","156","Archie Goodwin","SG","22","TOT","15","214","18.7",".651",".227",".636","3.5","10.3","6.9","18.5","0.9","1.8","14.2","19.8","0.6","0.1","0.7",".153","0.6","-1.7","-1.1","0.0"
"199","156","Archie Goodwin","SG","22","NOP","3","30","19.7",".798",".400","2.000","0.0","0.0","0.0","4.5","0.0","2.7","0.0","13.9","0.2","0.0","0.2",".291","2.2","-3.7","-1.5","0.0"
"200","156","Archie Goodwin","SG","22","BRK","12","184","18.6",".633",".213",".525","4.1","11.9","8.1","20.8","1.0","1.6","15.7","20.7","0.4","0.1","0.5",".131","0.3","-1.4","-1.0","0.0"
"201","157","Aaron Gordon","SF","21","ORL","80","2298","14.4",".530",".309",".251","5.3","14.1","9.6","10.5","1.4","1.4","8.5","20.1","2.0","1.7","3.7",".076","-0.2","-0.4","-0.7","0.8"
"202","158","Eric Gordon","SG","28","HOU","75","2323","13.2",".557",".651",".172","1.4","8.1","4.7","12.3","1.0","1.4","10.0","22.1","2.5","1.4","3.8",".079","1.0","-2.4","-1.4","0.4"
"203","159","Marcin Gortat","C","32","WAS","82","2556","15.5",".594",".003",".236","10.6","26.8","18.7","6.8","0.8","2.1","13.7","14.7","4.0","2.9","6.8",".128","-0.8","1.2","0.4","1.5"
"204","160","Treveon Graham","SG","23","CHO","27","189","10.6",".612",".375",".375","2.9","10.0","6.4","4.7","1.6","0.5","6.0","11.8","0.3","0.2","0.4",".108","-1.5","-1.3","-2.8","0.0"
"205","Rk","Player","Pos","Age","Tm","G","MP","PER","TS%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","OWS","DWS","WS","WS/48","OBPM","DBPM","BPM","VORP"
"206","161","Jerami Grant","SF","22","TOT","80","1531","10.2",".556",".354",".448","2.7","12.2","7.4","4.2","1.1","4.1","10.1","12.1","1.1","1.8","2.9",".092","-3.0","0.9","-2.1","0.0"
"207","161","Jerami Grant","SF","22","PHI","2","41","3.3",".390",".118",".471","0.0","18.9","9.4","0.0","0.0","7.7","12.8","24.9","-0.2","0.0","-0.1","-0.140","-14.0","-2.6","-16.5","-0.2"
"208","161","Jerami Grant","SF","22","OKC","78","1490","10.3",".566",".367",".447","2.8","12.0","7.4","4.3","1.1","4.0","9.9","11.8","1.3","1.7","3.0",".098","-2.7","1.0","-1.7","0.1"
"209","162","Jerian Grant","PG","24","CHI","63","1028","13.1",".555",".445",".243","1.8","9.9","5.8","17.3","2.3","0.6","11.7","16.0","1.3","1.2","2.5",".118","0.0","-0.3","-0.3","0.4"
"210","163","Danny Green","SG","29","SAS","68","1807","10.2",".537",".693",".071","2.0","11.8","7.0","9.6","2.0","2.6","14.1","13.5","0.4","3.0","3.4",".090","-0.3","2.7","2.4","2.0"
"211","164","Draymond Green","PF","26","GSW","76","2471","16.5",".522",".405",".328","4.6","20.9","13.3","27.6","3.0","3.4","19.8","16.2","2.8","5.4","8.2",".160","0.4","5.0","5.4","4.6"
"212","165","Gerald Green","SF","31","BOS","47","538","12.0",".524",".478",".177","3.6","13.9","8.8","9.8","0.8","1.1","9.1","22.7","0.1","0.4","0.6",".051","-1.9","-2.7","-4.6","-0.4"
"213","166","JaMychal Green","PF","26","MEM","77","2101","13.5",".601",".288",".334","8.8","21.1","14.8","6.3","1.1","1.5","14.1","14.4","3.1","2.6","5.8",".131","-0.4","1.0","0.6","1.4"
"214","167","Jeff Green","PF","30","ORL","69","1534","10.5",".505",".346",".301","2.7","12.6","7.5","8.0","1.2","0.7","10.6","20.3","-0.2","0.9","0.7",".022","-2.8","-1.8","-4.6","-1.0"
"215","168","Blake Griffin","PF","27","LAC","61","2076","22.6",".569",".116",".434","6.1","20.2","13.4","24.5","1.4","0.9","10.9","28.0","5.4","2.4","7.7",".179","3.2","1.3","4.4","3.4"
"216","169","Justin Hamilton","C","26","BRK","64","1177","13.6",".550",".478",".137","6.5","17.0","11.8","7.3","1.2","2.8","9.7","16.2","1.0","1.0","2.1",".084","-0.9","0.2","-0.8","0.4"
"217","170","A.J. Hammons","C","24","DAL","22","163","8.4",".472",".238",".476","5.4","20.9","12.8","3.8","0.3","7.2","16.4","17.6","-0.2","0.2","0.0","-0.001","-7.5","1.9","-5.6","-0.1"
"218","171","Tim Hardaway","SG","24","ATL","79","2154","15.2",".568",".457",".235","1.8","9.5","5.7","14.3","1.3","0.6","9.5","22.5","2.7","2.1","4.8",".107","1.3","-1.5","-0.3","0.9"
"219","172","James Harden","PG","27","HOU","81","2947","27.3",".613",".493",".575","3.5","20.9","12.2","50.7","2.0","1.0","19.5","34.2","11.5","3.6","15.0",".245","8.7","1.5","10.1","9.0"
"220","173","Maurice Harkless","SF","23","POR","77","2223","13.2",".570",".311",".199","6.2","10.8","8.5","6.0","1.9","2.5","11.1","15.1","2.4","1.9","4.2",".092","0.0","0.8","0.8","1.5"
"221","174","Justin Harper","PF","27","PHI","3","31","4.9",".500",".583",".000","7.1","10.7","8.9","10.5","0.0","0.0","25.0","22.4","-0.1","0.0","-0.1","-0.103","-5.1","-3.8","-8.8","-0.1"
"222","175","Montrezl Harrell","C","23","HOU","58","1064","19.2",".662",".020",".351","8.3","14.2","11.2","9.6","0.9","3.2","9.9","17.6","3.1","1.0","4.1",".183","0.8","0.2","0.9","0.8"
"223","176","Devin Harris","PG","33","DAL","65","1087","13.8",".549",".519",".378","1.1","13.0","6.8","20.0","2.1","0.6","12.5","19.7","1.1","1.1","2.2",".096","-0.1","-0.3","-0.4","0.4"
"224","177","Gary Harris","SG","22","DEN","57","1782","16.5",".612",".401",".211","3.0","8.1","5.6","13.6","1.9","0.3","9.9","18.4","3.9","0.7","4.6",".124","3.1","-1.5","1.5","1.6"
"225","178","Joe Harris","SG","25","BRK","52","1138","9.0",".558",".610",".135","1.5","12.0","6.8","7.3","1.2","0.5","12.5","16.5","0.1","0.6","0.8",".032","-1.5","-1.5","-3.0","-0.3"
